,name,year,imdb,number_votes,age_rating,runtime,genres,directors,actors
385,Yakusoku no Neverland,(2019– ),8.8,6713,none,30,"Animation, Fantasy, Horror",Sumire Morohoshi,"Maaya Uchida, Mariya Ise, Shinei Ueki, none"
386,Leila,(2019– ),4.6,6701,none,48,"Drama, Sci-Fi",Huma Qureshi,"Rahul Khanna, Siddharth, Leysha Mange, none"
387,Criando Dion,(2019– ),7.2,6694,none,50,"Drama, Sci-Fi",Jason Ritter,"Alisha Wainwright, Ja'Siah Young, Sammi Haney, none"
388,Çukur,(2017– ),7.5,6686,none,120,"Action, Crime, Thriller",Aras Bulut Iynemli,"Erkan Kolçak Köstendil, Öner Erkan, Perihan Savas, none"
389,Eye Candy,(2015),7.2,6671,none,60,"Crime, Drama, Mystery",Victoria Justice,"Casey Deidrick, Harvey Guillén, Marcus Callender, none"
390,O Chefe da Casa,(2016– ),6.9,6644,none,30,Comedy,Matt LeBlanc,"Liza Snyder, Matt Cook, Grace Kaufman, none"
391,The Grinder,(2015–2016),7.1,6606,none,21,Comedy,Rob Lowe,"Fred Savage, Mary Elizabeth Ellis, Hana Hayes, none"
392,Re: Zero kara hajimeru isekai seikatsu,(2016– ),8.0,6602,none,24,"Animation, Adventure, Drama",Yûsuke Kobayashi,"Sean Chiplock, Rie Takahashi, Inori Minase, none"
393,Rosewood,(2015–2017),6.6,6578,none,42,"Crime, Drama, Mystery",Morris Chestnut,"Jaina Lee Ortiz, Gabrielle Dennis, Anna Konkle, none"
394,Speechless,(2016–2019),7.6,6570,none,30,Comedy,Minnie Driver,"John Ross Bowie, Cedric Yarbrough, Mason Cook, none"
395,Senke nad Balkanom,(2017– ),9.2,6556,none,60,"Crime, Drama, Thriller",Andrija Kuzmanovic,"Marija Bergam, Dragan Bjelogrlic, Jovana Stojiljkovic, none"
396,Bill Nye Saves the World,(2017– ),3.6,6553,14,30,"Comedy, Talk-Show",Bill Nye,"Karlie Kloss, Rachel Bloom, Zach Braff, none"
397,Berlin Station,(2016–2019),7.6,6552,none,60,"Drama, Thriller",Leland Orser,"Michelle Forbes, Mina Tander, Rhys Ifans, none"
398,Critical Role,(2015– ),9.4,6537,none,180,"Adventure, Fantasy",Liam O'Brien,"Matthew Mercer, Taliesin Jaffe, Marisha Ray, none"
399,American Housewife,(2016– ),7.3,6501,none,30,Comedy,Katy Mixon,"Diedrich Bader, Daniel DiMaggio, Julia Butters, none"
400,Haters Back Off!,(2016–2017),6.0,6483,none,30,"Comedy, Drama, Family",Colleen Ballinger,"Angela Kinsey, Francesca Reale, Erik Stocklin, none"
401,Criminal: Reino Unido,(2019– ),7.4,6480,12,59,"Crime, Drama, Mystery",Katherine Kelly,"Lee Ingleby, Mark Stanley, Rochenda Sandall, none"
402,Beyond,(I) (2016–2018),7.0,6456,none,43,"Drama, Fantasy, Mystery",Burkely Duffield,"Dilan Gwyn, Jonathan Whitesell, Michael McGrady, none"
403,Tabula Rasa,(2017– ),8.1,6444,none,60,Thriller,Veerle Baetens,"Stijn Van Opstal, Jeroen Perceval, Gene Bervoets, none"
404,A Million Little Things,(2018– ),7.9,6359,14,43,"Comedy, Drama, Mystery",David Giuntoli,"Romany Malco, Allison Miller, Christina Moses, none"
405,Aranyélet,(2015–2018),8.9,6311,none,60,"Action, Drama, Thriller",Szabolcs Thuróczy,"Eszter Ónodi, Renátó Olasz, Laura Döbrösi, none"
406,The Widow,(2019– ),6.9,6291,none,60,Thriller,Kate Beckinsale,"Charles Dance, Ólafur Darri Ólafsson, Alex Kingston, none"
407,Projeto Livro Azul,(2019– ),7.6,6270,12,45,"Drama, Mystery, Sci-Fi",Aidan Gillen,"Michael Malarkey, Laura Mennell, Ksenia Solo, none"
408,Wet Hot American Summer: Ten Years Later,(2017),6.9,6267,16,30,Comedy,Nina Hellman,"Marguerite Moreau, Zak Orth, Michael Showalter, none"
409,The First,(2018),6.7,6246,none,45,"Drama, Sci-Fi",Sean Penn,"Natascha McElhone, LisaGay Hamilton, Hannah Ware, none"
410,Kara Sevda,(2015–2017),7.1,6155,none,90,"Drama, Romance",Burak Özçivit,"Neslihan Atagül, Kaan Urgancioglu, Orhan Güner, none"
411,Powerless,(2017),6.3,6107,none,21,"Comedy, Fantasy, Sci-Fi",Vanessa Hudgens,"Danny Pudi, Christina Kirk, Ron Funches, none"
412,Hap and Leonard,(2016– ),7.6,6094,none,60,"Crime, Drama, Thriller",James Purefoy,"Michael Kenneth Williams, Tiffany Mack, Cranston Johnson, none"
413,Chambers,(2019),6.5,6065,none,60,"Drama, Fantasy, Horror",Sivan Alyra Rose,"Marcus LaVoi, Nicholas Galitzine, Kyanna Simone Simpson, none"
414,Divorce,(2016– ),6.8,6052,none,30,"Comedy, Drama",Sarah Jessica Parker,"Thomas Haden Church, Molly Shannon, Talia Balsam, none"
415,Chewing Gum,(2015–2017),7.7,6037,none,23,Comedy,Michaela Coel,"Danielle Walters, Robert Lonsdale, Shola Adewusi, none"
416,Powers,(2015–2016),6.7,5982,none,42,"Action, Crime, Drama",Sharlto Copley,"Susan Heyward, Noah Taylor, Eddie Izzard, none"
417,A Bruxa do Bem,(2015– ),7.3,5969,none,48,"Comedy, Drama, Fantasy",Catherine Bell,"Catherine Disher, Bailee Madison, James Denton, none"
418,Inside Edge,(2017– ),8.0,5968,none,45,"Drama, Sport",Richa Chadha,"Angad Bedi, Tanuj Virwani, Sayani Gupta, none"
419,Tae-yang-eui hoo-ye,(2016–2017),8.4,5941,none,60,"Fantasy, Romance",Joong-Ki Song,"Hye-Kyo Song, Goo Jin, Ji-won Kim, none"
420,The Durrells,(2016–2019),8.1,5918,none,46,"Biography, Comedy, Drama",Keeley Hawes,"Josh O'Connor, Milo Parker, Daisy Waterstone, none"
421,Inside Look: The Assassination of Gianni Versace - American Crime Story,(2017–2018),7.7,5879,none,3,"Documentary, Short",Darren Criss,"Ricky Martin, Penélope Cruz, Edgar Ramírez, none"
422,"De Repente, Vovô",(2015–2016),6.9,5853,none,22,Comedy,John Stamos,"Paget Brewster, Josh Peck, Christina Milian, none"
423,Parfum,(2018– ),7.1,5804,none,45,"Drama, Thriller",Friederike Becht,"Natalia Belitski, Oskar Belton, Leon Lukas Blaschke, none"
424,Undercover,(2019– ),7.9,5792,none,50,Drama,Tom Waes,"Anna Drijver, Frank Lammers, Elise Schaap, none"
425,Damnation,(2017–2018),7.7,5791,none,60,"Crime, Drama, Western",Logan Marshall-Green,"Killian Scott, Sarah Jones, Chasten Harmon, none"
426,American Odyssey,(2015),7.3,5791,none,60,"Action, Drama, Thriller",Anna Friel,"Peter Facinelli, Jake Robinson, Omar Ghazaoui, none"
427,Bad Blood,(2017– ),7.5,5779,none,47,"Crime, Drama",Kim Coates,"Louis Ferreira, Sharon Taylor, Melanie Scrofano, none"
428,Wrecked,(2016–2018),7.2,5779,none,30,"Action, Adventure, Comedy",Zach Cregger,"Asif Ali, Brian Sacca, Ally Maki, none"
429,Made in Heaven,(2019– ),8.3,5756,none,50,"Drama, Romance",Arjun Mathur,"Sobhita Dhulipala, Jim Sarbh, Kalki Koechlin, none"
430,Apharan,(2018– ),8.4,5731,none,45,"Action, Thriller",Arunoday Singh,"Nidhi Singh, Mahie Gill, Sanjay Batra, none"
431,Adam Ruins Everything,(2015– ),8.1,5731,none,30,"Animation, Comedy, History",Adam Conover,"Adam Lustick, Emily Axford, Amos Vernon, none"
432,Merlí,(2015–2018),8.6,5691,12,58,"Comedy, Drama, Romance",Francesc Orella,"Pere Ponce, Carlos Cuevas, Marta Marco, none"
433,Estação 19,(2018– ),6.4,5685,none,60,"Action, Drama, Romance",Jaina Lee Ortiz,"Grey Damon, Barrett Doss, Jay Hayden, none"
434,O Desaparecimento de Madeleine McCann,(2019– ),6.7,5666,none,60,"Documentary, Crime",Anthony Summers,"Gonçalo Amaral, Robbyn Swan, Jim Gamble, none"
435,Instinct,(2018– ),6.6,5640,none,60,"Crime, Drama, Mystery",Alan Cumming,"Bojana Novakovic, Daniel Ings, Michael B. Silver, none"
436,Wayne,(2019– ),8.4,5618,none,30,"Action, Comedy",Mark McKenna,"Ciara Bravo, Jon Champagne, Jamie Champagne, none"
437,For All Mankind,(2019– ),7.3,5606,none,60,"Drama, Sci-Fi",Joel Kinnaman,"Michael Dorman, Jodi Balfour, Wrenn Schmidt, none"
438,Origin,(2018),7.1,5601,none,45,"Horror, Sci-Fi",Natalia Tena,"Tom Felton, Sen Mitsuji, Nora Arnezeder, none"
439,L'amica geniale,(2018– ),8.6,5598,none,50,"Drama, Family, Romance",Valentina Acca,"Antonio Buonanno, Gennaro Canonico, Pina Di Gennaro, none"
440,The Blacklist: Redemption,(2017),7.1,5597,none,43,"Action, Crime, Drama",Famke Janssen,"Ryan Eggold, Edi Gathegi, Tawny Cypress, none"
441,"Se Joga, Charlie",(2019– ),7.1,5596,none,30,Comedy,Idris Elba,"Piper Perabo, Frankie Hervey, Shaheen Ramdiane, none"
442,People of Earth,(2016–2017),7.7,5585,none,30,"Comedy, Mystery, Sci-Fi",Wyatt Cenac,"Luka Jones, Alice Wetterlund, Michael Cassidy, none"
443,Tidelands,(2018– ),7.0,5544,none,60,"Crime, Drama, Fantasy",Charlotte Best,"Marco Pigossi, Aaron Jakubenko, Mattias Inwood, none"
444,APB,(2016–2017),6.9,5529,none,43,"Crime, Drama",Justin Kirk,"Natalie Martinez, Taylor Handley, Caitlin Stasey, none"
445,Prodigal Son,(2019– ),7.6,5506,none,44,"Crime, Drama, Mystery",Tom Payne,"Lou Diamond Phillips, Halston Sage, Aurora Perrineau, none"
446,Na Rota do Dinheiro Sujo,(2018– ),8.1,5502,none,60,Documentary,Walter Archer,"Victor Avila, Alberto Ayala, Elise J. Bean, none"
447,Harlots,(2017– ),7.7,5501,none,45,Drama,Lesley Manville,"Kate Fleetwood, Holli Dempsey, Eloise Smyth, none"
448,The Detour,(2016–2019),7.7,5492,none,30,"Adventure, Comedy",Jason Jones,"Natalie Zea, Ashley Gerasimovich, Liam Carroll, none"
449,Full Frontal with Samantha Bee,(2016– ),5.8,5463,none,21,"Comedy, News, Talk-Show",Samantha Bee,"Allana Harkin, Ashley Nicole Black, Mike Rubens, none"
450,Os Muppets,(2015–2016),7.4,5450,none,21,"Comedy, Family",Dave Goelz,"Eric Jacobson, Bill Barretta, Peter Linz, none"
451,God Friended Me,(2018– ),6.9,5444,none,43,"Comedy, Drama",Brandon Micheal Hall,"Violett Beane, Suraj Sharma, Javicia Leslie, none"
452,Virgin River,(2019– ),7.6,5440,none,44,Drama,Colin Lawrence,"Benjamin Hollingsworth, Grayson Maxwell Gurnsey, Martin Henderson, none"
453,Crashing,(2017–2019),7.5,5439,none,30,Comedy,Pete Holmes,"George Basil, Jamie Lee, Artie Lange, none"
454,Ansatsu kyôshitsu,(2015–2016),8.0,5385,none,23,"Animation, Action, Comedy",Jun Fukuyama,"Mai Fuchigami, Christopher Bevins, Luci Christian, none"
455,Pennyworth,(2019– ),8.0,5376,none,60,"Action, Crime, Drama",Jack Bannon,"Ben Aldridge, Hainsley Lloyd Bennett, Ryan Fletcher, none"
456,Boruto: Naruto Next Generations,(2017– ),7.2,5358,none,23,"Animation, Action, Adventure",Yûko Sanpei,"Kokoro Kikuchi, Ryûichi Kijima, Kenshô Ono, none"
457,Dig,(2015),6.8,5347,none,60,"Drama, Mystery, Thriller",Jason Isaacs,"Anne Heche, Ori Pfeffer, Alison Sudol, none"
458,Famous in Love,(2017–2018),6.9,5342,none,42,"Drama, Romance",Bella Thorne,"Charlie DePew, Carter Jenkins, Georgie Flores, none"
459,Baby,(2018– ),6.8,5339,none,50,Drama,Benedetta Porcaroli,"Alice Pagani, Riccardo Mandolini, Chabeli Sastre, none"
460,Riviera,(2017– ),6.6,5316,none,60,"Drama, Thriller",Julia Stiles,"Lena Olin, Dimitri Leonidas, Roxane Duran, none"
461,Trust,(2018– ),7.5,5290,none,60,"Biography, Crime, Drama",Harris Dickinson,"Donald Sutherland, Hilary Swank, Luca Marinelli, none"
462,Ghosted,(I) (2017),6.3,5277,none,30,"Comedy, Crime, Horror",Adam Scott,"Craig Robinson, Ally Walker, Adeel Akhtar, none"
463,Olympus,(2015),6.5,5267,none,46,Fantasy,Tom York,"Sonya Cassidy, Sonita Henry, Matt Frewer, none"
464,Pitch,(2016–2017),7.4,5226,none,60,"Drama, Sport",Kylie Bunbury,"Mark-Paul Gosselaar, Mark Consuelos, Mo McRae, none"
465,Kiralik Ask,(2015–2017),7.1,5212,none,120,"Comedy, Romance",Elçin Sangu,"Baris Arduç, Salih Bademci, Nergis Kumbasar, none"
466,Miracle Workers,(2019– ),6.9,5209,none,30,"Comedy, Drama, Fantasy",Daniel Radcliffe,"Geraldine Viswanathan, Karan Soni, Jon Bass, none"
467,Last Chance U,(2016– ),8.5,5205,none,55,"Documentary, Sport",Ron Ollie,"John III Franklin, Buddy Stephens, Brittany Wagner, none"
468,Unsolved,(2018– ),7.9,5203,none,60,"Biography, Crime",Josh Duhamel,"Bokeem Woodbine, Wavyy Jonez, Marcc Rose, none"
469,Corrida Sangrenta,(2017),7.3,5199,none,60,"Action, Adventure, Comedy",Alan Ritchson,"Christina Ochoa, Thomas Dominique, Marama Corlett, none"
470,High Maintenance,(2016– ),8.0,5197,none,30,"Comedy, Drama",Ben Sinclair,"Kate Lyn Sheil, Britt Lower, Abdullah Saeed, none"
471,A Casa das Flores,(2018– ),7.8,5150,16,60,Comedy,Aislinn Derbez,"Cecilia Suárez, Dario Yazbek Bernal, Alexa de Landa, none"
472,The Late Late Show with James Corden,(2015– ),6.3,5133,none,60,"Comedy, Talk-Show",James Corden,"Reggie Watts, Louis Waymouth, Harry Styles, none"
473,Stan Lee's Lucky Man,(2016– ),7.2,5119,none,60,"Action, Crime, Drama",James Nesbitt,"Sienna Guillory, Darren Boyd, Amara Karan, none"
474,Cardinal,(2017– ),7.7,5106,none,42,"Crime, Drama, Mystery",Billy Campbell,"Karine Vanasse, Glen Gould, James Downing, none"
475,Three's a Pain,(2016– ),8.2,5090,none,none,Comedy,LaQuita James,"Donnie Clark, David Ditmore, Alice Raver, none"
476,Servant,(2019– ),7.9,5082,16,30,"Drama, Horror, Thriller",Lauren Ambrose,"Toby Kebbell, Nell Tiger Free, Rupert Grint, none"
477,Secret City,(2016–2019),7.4,5071,none,49,"Mystery, Thriller",Anna Torv,"Marcus Graham, Justin Smith, Aleks Mikic, none"
478,Trial & Error,(2017–2018),8.0,5025,none,22,"Comedy, Mystery",Nicholas D'Agosto,"Jayma Mays, Steven Boyer, Sherri Shepherd, none"
479,Crônicas de San Francisco,(2019– ),7.5,4952,18,60,Drama,Laura Linney,"Ellen Page, Paul Gross, Murray Bartlett, none"
480,She-Ra e as Princesas do Poder,(2018– ),7.3,4937,L,30,"Animation, Action, Adventure",Aimee Carrero,"Marcus Scribner, Karen Fukuhara, AJ Michalka, none"
481,Liar,(2017– ),7.1,4918,none,45,"Crime, Drama, Thriller",Joanne Froggatt,"Ioan Gruffudd, Zoë Tapper, Richie Campbell, none"
482,City on a Hill,(2019– ),7.5,4894,none,60,"Crime, Drama, Thriller",Kevin Bacon,"Aldis Hodge, Jonathan Tucker, Mark O'Brien, none"
483,Roadies,(2016),7.3,4885,none,60,"Comedy, Drama, Music",Carla Gugino,"Luke Wilson, Imogen Poots, Rafe Spall, none"
484,One Strange Rock,(2018– ),8.9,4876,L,47,Documentary,Will Smith,"Chris Hadfield, Jerry Linenger, Mae C. Jemison, none"
485,Patriot Act with Hasan Minhaj,(2018– ),8.1,4843,none,25,"Comedy, News, Talk-Show",Hasan Minhaj,"Joyelle Johnson, Arnab Goswami, Andrew Yang, none"
486,The Real O'Neals,(2016–2017),7.1,4834,none,30,"Comedy, Drama, Musical",Martha Plimpton,"Jay R. Ferguson, Noah Galvin, Matt Shively, none"
487,Shahrzad,(2015– ),8.1,4830,none,60,"Crime, Drama, History",Taraneh Alidoosti,"Mostafa Zamani, Shahab Hosseini, Parinaz Izadyar, none"
488,Claws,(2017– ),7.3,4823,none,45,"Comedy, Crime, Drama",Niecy Nash,"Carrie Preston, Judy Reyes, Karrueche Tran, none"
489,Evil,(2019– ),7.5,4819,none,42,"Crime, Drama, Horror",Katja Herbers,"Mike Colter, Aasif Mandvi, Brooklyn Shuck, none"
490,The Enemy Within,(2019),7.1,4819,none,43,Drama,Jennifer Carpenter,"Morris Chestnut, Raza Jaffrey, Kelli Garner, none"
491,Kim's Convenience,(2016– ),8.0,4800,none,22,Comedy,Paul Sun-Hyung Lee,"Jean Yoon, Andrea Bang, Simu Liu, none"
492,Labirinto Verde,(2017– ),7.6,4799,16,52,"Crime, Drama, Horror",Suliane Brahim,"Hubert Delattre, Laurent Capelluto, Samuel Jouy, none"
493,Incorporated,(2016–2017),7.3,4772,none,43,"Crime, Drama, Sci-Fi",Sean Teale,"Allison Miller, Eddie Ramos, Julia Ormond, none"
494,Dark Tourist,(2018– ),7.6,4771,none,40,Documentary,David Farrier,"Robin Brown, Dan Bulter, Daley Catherine, none"
495,Why Women Kill,(2019– ),8.3,4770,none,none,"Comedy, Crime, Drama",Lucy Liu,"Ginnifer Goodwin, Kirby Howell-Baptiste, Alexandra Daddario, none"
496,"Dá Licença, Saúde",(2017– ),6.8,4759,none,30,"Comedy, Crime",Rupert Grint,"Nick Frost, Pippa Bennett-Warner, Marama Corlett, none"
497,NOS4A2,(2019– ),6.7,4756,16,60,"Drama, Fantasy, Horror",Ashleigh Cummings,"Zachary Quinto, Ólafur Darri Ólafsson, Jahkara Smith, none"
498,Special,(2019– ),7.6,4745,none,15,Comedy,Ryan O'Connell,"Jessica Hecht, Punam Patel, Marla Mindelle, none"
499,The Innocents,(2018– ),6.3,4740,none,60,"Drama, Horror, Mystery",Sorcha Groundsell,"Percelle Ascott, Guy Pearce, Jóhannes Haukur Jóhannesson, none"
500,The Son,(2017–2019),7.5,4711,none,44,"Drama, Western",Pierce Brosnan,"Jacob Lofland, Henry Garrett, Paola Nuñez, none"
501,Tell Me a Story,(2018– ),7.2,4695,none,52,Thriller,Danielle Campbell,"Paul Wesley, James Wolk, Billy Magnussen, none"
502,Meme Review,(2017– ),9.8,4678,none,none,"Short, Comedy, Talk-Show",Felix Kjellberg,"Ben Shapiro, Phil McGraw, Chris, none"
503,Documentary Now!,(2015– ),8.1,4676,none,23,Comedy,Helen Mirren,"Fred Armisen, Bill Hader, Deb Hiett, none"
504,DuckTales: Os Caçadores de Aventuras,(2017– ),8.2,4650,Livre,21,"Animation, Action, Adventure",David Tennant,"Ben Schwartz, Danny Pudi, Bobby Moynihan, none"
505,4 Blocks,(2017– ),8.2,4602,none,60,"Crime, Drama",Kida Khodr Ramadan,"Almila Bagriacik, Veysel Gelin, Maryam Zaree, none"
506,Bose: Dead/Alive,(2017),9.1,4601,none,20,"Biography, History, Mystery",Rajkummar Rao,"Naveen Kasturia, Edward Sonnenblick, Anna Ador, none"
507,Crise em Seis Cenas,(2016),6.6,4590,none,23,Comedy,Woody Allen,"Miley Cyrus, Elaine May, John Magaro, none"
508,Sorjonen,(2016– ),7.6,4579,none,60,"Crime, Drama, Mystery",Ville Virtanen,"Anu Sinisalo, Lenita Susi, Olivia Ainali, none"
509,Le Bureau des Légendes,(2015– ),8.7,4575,none,52,Drama,Mathieu Kassovitz,"Florence Loiret Caille, Sara Giraudeau, Jules Sagot, none"
510,The Family,(I) (2016),7.5,4526,none,60,"Drama, Mystery",Joan Allen,"Rupert Graves, Alison Pill, Margot Bingham, none"
511,Stargate Origins,(2018– ),3.9,4519,none,10,"Short, Action, Adventure",Ellie Gall,"Aylam Orian, Philip Alexander, Shvan Aladdin, none"
512,No Tomorrow,(2016–2017),7.2,4503,none,43,"Comedy, Drama, Romance",Joshua Sasse,"Tori Anderson, Jonathan Langdon, Sarayu Blue, none"
513,Eyewitness,(2016– ),7.7,4487,none,42,"Crime, Mystery, Romance",Julianne Nicholson,"Tyler Young, James Paxton, Gil Bellows, none"
514,Club de Cuervos,(2015– ),8.2,4487,none,40,"Comedy, Drama",Luis Gerardo Méndez,"Mariana Treviño, Jesús Zavala, Antonio de la Vega, none"
515,Stan Against Evil,(2016–2018),7.3,4472,none,30,"Comedy, Fantasy, Horror",John C. McGinley,"Janet Varney, Deborah Baker Jr., Nate Mooney, none"
516,Stumptown,(2019– ),7.5,4472,none,44,"Crime, Drama",Cobie Smulders,"Jake Johnson, Tantoo Cardinal, Cole Sibus, none"
517,Ajin,(2016– ),7.7,4468,none,24,"Animation, Action, Adventure",Mamoru Miyano,"Martin Billany, Johnny Yong Bosch, Lucien Dodge, none"
518,Pure Genius,(2016–2017),7.2,4468,none,60,Drama,Dermot Mulroney,"Augustus Prew, Odette Annable, Reshma Shetty, none"
519,Underground,(2016–2017),7.7,4461,none,43,"Adventure, Drama, History",Jurnee Smollett-Bell,"Aldis Hodge, Jessica De Gouw, Alano Miller, none"
520,Notícias em Grande,(2017–2018),7.0,4430,none,22,Comedy,Briga Heelan,"Andrea Martin, Adam Campbell, Nicole Richie, none"
521,Get Shorty,(2017– ),8.2,4425,none,60,"Comedy, Crime",Carolyn Dodd,"Goya Robles, Sean Bridgers, Isaac Keys, none"
522,Him-ssen yeo-ja Do Bong-soon,(2017),8.3,4407,none,67,"Comedy, Crime, Drama",Bo-Young Park,"Hyung-shik Park, Ji Soo, Suk-ho Jun, none"
523,Hilda,(2018–2020),8.6,4403,Livre,24,"Animation, Adventure, Comedy",Bella Ramsey,"Ameerah Falzon-Ojo, Oliver Nelson, Daisy Haggard, none"
524,Food Wars: Shokugeki no Soma,(2015– ),8.3,4351,none,24,"Animation, Comedy, Drama",Yoshitsugu Matsuoka,"Minami Takahashi, Maaya Uchida, Ai Kayano, none"
525,W - Du gaeui segye,(2016),8.1,4348,none,60,"Drama, Fantasy, Romance",Hyo-Joo Han,"Jong-Suk Lee, Eu-Gene Jeong, Eui-sung Kim, none"
526,SMILF,(2017– ),6.7,4318,none,30,Comedy,Frankie Shaw,"Miguel Gomez, Samara Weaving, Anna Chanel Reimer, none"
527,Room 104,(2017– ),6.1,4312,none,30,"Comedy, Drama, Fantasy",Jennifer Lafleur,"Jenny Leonhardt, Michael Chandler, Kristina Harrison, none"
528,Explained,(2018– ),8.0,4308,none,18,Documentary,Estelle Caswell,"Maria Bello, Kristen Bell, Rachel Bloom, none"
529,Take Two,(II) (2018– ),7.2,4304,none,43,"Crime, Drama, Mystery",Rachel Bilson,"Eddie Cibrian, Xavier de Guzman, Alice Lee, none"
530,Criminal Minds: Beyond Borders,(2016–2017),6.1,4295,none,43,"Crime, Drama, Mystery",Gary Sinise,"Alana De La Garza, Daniel Henney, Tyler James Williams, none"
531,The Good Cop,(2018),7.0,4289,none,60,"Comedy, Crime, Drama",Tony Danza,"Josh Groban, Monica Barbaro, Isiah Whitlock Jr., none"
532,Rostered On,(2016– ),4.9,4283,none,22,Comedy,Paul Moore,"Doug Lyons, Ronn Kurtz, Diana Brumen, none"
533,Better Than Us,(2018–2019),7.4,4268,none,52,"Drama, Sci-Fi",Paulina Andreeva,"Kirill Käro, Aleksandr Ustyugov, Olga Lomonosova, none"
534,The Romanoffs,(2018),7.0,4204,none,60,Drama,Diane Lane,"JJ Feild, Aaron Eckhart, Louise Bourgoin, none"
535,LA to Vegas,(2018),7.1,4194,none,22,Comedy,Kim Matula,"Ed Weeks, Peter Stormare, Nathan Lee Graham, none"
536,Yuri!!! On Ice,(2016– ),8.4,4194,none,20,"Animation, Comedy, Drama",Toshiyuki Toyonaga,"Jun'ichi Suwabe, Josh Grelle, Jerry Jewell, none"
537,For the People,(2018–2019),7.2,4183,none,43,Drama,Hope Davis,"Ben Shenkman, Jasmin Savoy Brown, Susannah Flood, none"
538,Os Últimos Czares,(2019– ),7.3,4179,16,45,"Documentary, Drama, History",Robert Jack,"Susanna Herbert, Ben Cartwright, Oliver Dimsdale, none"
539,Rise,(2018),6.2,4175,none,43,Drama,Josh Radnor,"Marley Shelton, Auli'i Cravalho, Damon J. Gillespie, none"
540,A.D. The Bible Continues,(2015),7.4,4169,none,44,Drama,Richard Coyle,"Vincent Regan, Adam Levy, Joanne Whalley, none"
541,Greenhouse Academy,(2017– ),7.1,4164,12,25,Drama,Ariel Mortman,"Finn Roberts, Chris O'Neal, Cinthya Carmona, none"
542,Mr Inbetween,(2018– ),8.3,4157,none,30,"Crime, Drama",Scott Ryan,"Chika Yasumura, Damon Herriman, Justin Rosniak, none"
543,Le chalet,(2017– ),7.0,4153,none,52,"Drama, Mystery, Thriller",Chloé Lambert,"Philippe Dusseau, Blanche Veisberg, Eric Savin, none"
544,Verão Letal,(2016),6.2,4143,16,60,"Drama, Fantasy, Horror",Elizabeth Mitchell,"Elizabeth Lail, Alberto Frezza, Mark Indelicato, none"
545,Forever,(2018– ),7.2,4142,none,30,"Comedy, Drama, Fantasy",Maya Rudolph,"Fred Armisen, Catherine Keener, Noah Robbins, none"
546,The Last Tycoon,(2016–2017),7.7,4138,none,61,Drama,Matt Bomer,"Kelsey Grammer, Lily Collins, Dominique McElligott, none"
547,Here and Now,(2018– ),6.8,4135,none,60,"Comedy, Drama",Tim Robbins,"Holly Hunter, Daniel Zovatto, Jerrika Hinton, none"
548,Aftermath,(2016),4.9,4130,none,60,Sci-Fi,James Tupper,"Anne Heche, Levi Meaden, Taylor Hickson, none"
549,Miraculous: As Aventuras de Ladybug,(2015– ),7.8,4127,Livre,20,"Animation, Action, Adventure",Cristina Valenzuela,"Bryce Papenbrook, Mela Lee, Keith Silverstein, none"
550,Das Boot,(2018– ),7.4,4124,none,60,"Drama, War",Vicky Krieps,"Tom Wlaschiha, Thierry Frémont, August Wittgenstein, none"
551,Constantine: Cidade dos Demônios,(2018–2019),7.6,4119,R,90,"Animation, Fantasy, Horror",Matt Ryan,"Damian O'Hare, Laura Bailey, Emily O'Brien, none"
552,The Cheat,(2017– ),8.9,4105,none,20,"Action, Drama, Sci-Fi",Taha Ulukaya,"Taner Sahin, Andac Ulukaya, Neslihan Ulusoy, none"
553,Overlord,(2015– ),7.8,4105,none,30,"Animation, Action, Adventure",Satoshi Hino,"Chris Guerrero, Yumi Hara, Masayuki Katô, none"
554,Lore,(2017–2018),6.7,4102,none,40,"Documentary, Horror",Aaron Mahnke,"Steven Berkoff, Josh Bowman, Paula Malcomson, none"
555,Dragões: Corrida até o Limite,(2015–2018),8.3,4097,none,22,"Animation, Short, Action",Jay Baruchel,"America Ferrera, Zack Pearlman, Christopher Mintz-Plasse, none"
556,Marseille,(2016– ),6.9,4097,none,41,Drama,Karen Strassman,"Anne Yatco, Gérard Depardieu, Benoît Magimel, none"
557,Notorious,(2016),6.6,4078,none,60,"Drama, Thriller",Piper Perabo,"Daniel Sunjata, Kate Jennings Grant, Aimee Teegarden, none"
558,Made in Abyss,(2017– ),8.4,4072,none,325,"Animation, Adventure, Drama",Miyu Tomita,"Mariya Ise, Luci Christian, Brittany Lauda, none"
559,Leah Remini: Scientology and the Aftermath,(2016–2019),9.1,4064,none,47,Documentary,Leah Remini,"Mike Rinder, Mary Kahn, Claire Headley, none"
560,Kevin (Probably) Saves the World,(2017–2018),7.8,4047,none,42,"Comedy, Drama, Fantasy",Jason Ritter,"JoAnna Garcia Swisher, Kimberly Hebert Gregory, India de Beaufort, none"
561,The Confession Tapes,(2017– ),7.5,4042,none,46,"Documentary, Crime",David Burns,"Loretta Fisher, Brian Hutchinson, Sarah Isaacs, none"
562,Deep State,(2018– ),7.0,4037,none,45,"Action, Drama, Thriller",Joe Dempsie,"Karima McAdams, Anastasia Griffith, Alistair Petrie, none"
563,La trêve,(2016– ),7.7,4027,none,52,"Crime, Drama, Thriller",Yoann Blanc,"Jasmina Douieb, Lara Hubinont, Tom Audenaert, none"
